"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"","RUIQ66O-SXXKCJ-L5EWEX","2021-02-02 01:02:45","deposit","","currency","DOT.S",0.0052891900,0.0000000000,""
"LNT5DQ-UQJQ2-HVRVTR","ST7V5BP-P52HA-PW2YEC","2021-02-02 07:26:30","staking","","currency","DOT.S",0.0052891900,0.0000000000,4.0303047800
"","RUIHC2A-2BOMNV-X2TX3V","2021-02-05 01:02:50","deposit","","currency","DOT.S",0.0039719200,0.0000000000,""
"L7INFI-KL3EO-7QITNR","STIQAGI-JJDBJ-PHVWRA","2021-02-05 08:25:26","staking","","currency","DOT.S",0.0039719200,0.0000000000,4.0342767000
"LTWFM4-WYM4Q-Q7MOZW","TYA5U3-I4PET-CXYZ2F","2021-02-07 01:54:53","trade","","currency","XXBT",-0.0063800000,0.0000165880,0.0059739712
"LNVY6A-PXY44-VYTHYW","TYA5U3-I4PET-CXYZ2F","2021-02-07 01:54:53","trade","","currency","MANA",1000.0000000000,0.0000000000,1000.0000000500
"LE6RXL-TZ6L4-IFASO2","TGJCVI-TIKCS-ME4BPR","2021-02-07 23:44:34","trade","","currency","XXBT",-0.0040800000,0.0000106080,0.0018833632
"LKB2UP-WY3A5-E22BVT","TGJCVI-TIKCS-ME4BPR","2021-02-07 23:44:34","trade","","currency","XXDG",2000.00000000,0.00000000,2000.00000000
"LIIR4Y-AYRMG-T3UCLJ","TWLWVI-H52FD-6NBRWS","2021-02-08 00:16:21","trade","","currency","XXDG",-1994.81354167,5.18645833,0.00000000
"LCWBRY-T7LL3-WK7PVV","TWLWVI-H52FD-6NBRWS","2021-02-08 00:16:21","trade","","currency","XXBT",0.0038300420,0.0000000000,0.0057134052
"","RUIWIUB-DD2W3P-PM5WAX","2021-02-09 01:03:02","deposit","","currency","DOT.S",0.0053013300,0.0000000000,""
"LKCQ5C-GRUTE-MQYGGN","ST5MOGO-CQHPW-FRMWNP","2021-02-09 09:04:02","staking","","currency","DOT.S",0.0053013300,0.0000000000,4.0395780300
